hand,P1,B1,P2,B2,P3,B3,player_3rd,banker_3rd,xgb_prob,nn_prob,bet_made,unit_size,result,outcome,bankroll
8,0.0,0.0,4.0,5.0,3,0,0,0,0.4961,0.5033,Player,0,NO BET,0,489.0
9,0.0,5.0,5.0,0.0,0,1,1,0,0.7727,0.5367,Tie,28,NO BET,2,489.0
10,0.0,2.0,3.0,0.0,3,9,1,0,0.7715,0.5411,Player,28,LOSS,2,461.0
11,0.0,0.0,0.0,0.0,3,6,0,0,0.4911,0.499,Banker,0,NO BET,0,461.0
12,0.0,0.0,0.0,6.0,0,7,0,0,0.4916,0.4982,Banker,0,NO BET,0,461.0
13,9.0,5.0,5.0,8.0,7,6,1,1,0.4883,0.4899,Banker,0,NO BET,0,461.0
14,0.0,0.0,7.0,2.0,5,3,0,0,0.4959,0.4982,Player,0,NO BET,0,461.0
15,0.0,0.0,6.0,3.0,5,0,0,0,0.4994,0.4987,Banker,0,NO BET,0,461.0
16,0.0,1.0,4.0,0.0,4,9,1,0,0.7138,0.5426,Tie,28,NO BET,2,461.0
17,0.0,0.0,0.0,0.0,5,3,0,0,0.5202,0.4991,Banker,0,NO BET,2,461.0
18,0.0,7.0,3.0,0.0,6,0,1,0,0.6773,0.5464,Banker,28,WIN,2,489.0
19,0.0,4.0,7.0,7.0,7,7,1,1,0.4752,0.4862,Tie,28,NO BET,0,489.0
1,5.0,7.0,0.0,0.0,3,5,1,1,0.4516,0.492,Tie,28,NO BET,0,489.0
2,0.0,0.0,0.0,5.0,6,0,0,0,0.4909,0.5052,Player,0,NO BET,0,489.0
3,0.0,0.0,9.0,1.0,0,0,1,1,0.4589,0.4904,Tie,28,NO BET,0,489.0
4,0.0,0.0,1.0,0.0,7,1,1,1,0.4592,0.489,Player,28,WIN,0,517.0
5,0.0,0.0,0.0,6.0,0,6,0,0,0.4924,0.5013,Tie,0,NO BET,0,517.0
6,0.0,0.0,7.0,6.0,6,3,0,0,0.4924,0.501,Banker,0,NO BET,0,517.0
7,0.0,0.0,0.0,3.0,2,7,0,0,0.4924,0.5015,Banker,0,NO BET,0,517.0
8,0.0,0.0,8.0,0.0,6,7,0,0,0.4969,0.5006,Player,0,NO BET,0,517.0
9,0.0,5.0,2.0,9.0,2,0,1,0,0.774,0.5403,Player,28,LOSS,2,489.0
10,0.0,3.0,1.0,9.0,8,4,1,0,0.774,0.5414,Player,28,LOSS,2,461.0
11,0.0,0.0,7.0,0.0,0,0,1,0,0.7617,0.5415,Player,28,LOSS,2,433.0
12,0.0,0.0,7.0,2.0,0,0,0,0,0.4957,0.4973,Player,0,NO BET,0,433.0
13,0.0,0.0,5.0,3.0,6,4,0,0,0.4957,0.4974,Player,0,NO BET,0,433.0
14,0.0,0.0,1.0,0.0,2,0,1,1,0.4711,0.4903,Player,28,WIN,0,461.0
15,0.0,0.0,3.0,3.0,4,3,1,0,0.6741,0.5476,Banker,28,WIN,2,489.0
16,0.0,0.0,6.0,0.0,1,8,0,0,0.5165,0.5014,Banker,0,NO BET,2,489.0
17,0.0,0.0,1.0,7.0,5,3,0,0,0.5165,0.5029,Player,0,NO BET,2,489.0
18,4.0,3.0,0.0,0.0,0,0,1,1,0.4752,0.4944,Player,28,WIN,0,517.0
19,2.0,1.0,6.0,9.0,4,0,1,1,0.4704,0.4962,Player,28,WIN,0,545.0
20,0.0,0.0,5.0,1.0,5,9,1,0,0.6731,0.5565,Banker,28,WIN,2,573.0
21,0.0,0.0,3.0,4.0,5,2,0,0,0.5154,0.508,Tie,0,NO BET,2,573.0
22,0.0,0.0,0.0,6.0,8,8,0,0,0.5154,0.5099,Tie,0,NO BET,2,573.0
23,0.0,0.0,9.0,6.0,3,0,0,0,0.515,0.5118,Banker,0,NO BET,2,573.0
24,2.0,0.0,0.0,0.0,3,0,1,1,0.4679,0.5046,Player,28,WIN,0,601.0
25,0.0,0.0,7.0,3.0,0,9,0,0,0.5146,0.5172,Banker,0,NO BET,2,601.0
26,0.0,9.0,1.0,7.0,0,0,1,0,0.6724,0.5699,Banker,28,WIN,2,629.0
27,0.0,0.0,0.0,0.0,4,1,0,0,0.5152,0.5176,Banker,0,NO BET,2,629.0
28,0.0,0.0,9.0,1.0,4,8,1,1,0.4675,0.5067,Banker,28,LOSS,0,601.0
29,0.0,0.0,0.0,0.0,5,0,0,0,0.5152,0.5186,Banker,0,NO BET,2,601.0
30,0.0,9.0,7.0,0.0,0,0,1,0,0.6668,0.5732,Banker,28,WIN,2,629.0
31,0.0,0.0,2.0,6.0,0,4,0,0,0.5086,0.5229,Player,0,NO BET,2,629.0
32,0.0,0.0,2.0,0.0,0,3,0,0,0.5104,0.5231,Banker,0,NO BET,2,629.0
33,0.0,0.0,4.0,5.0,9,8,0,0,0.5104,0.5244,Player,0,NO BET,2,629.0
34,0.0,0.0,4.0,7.0,0,4,1,0,0.6685,0.5856,Banker,28,WIN,2,657.0
35,0.0,8.0,8.0,3.0,7,8,1,0,0.6687,0.5873,Banker,28,WIN,2,685.0
36,0.0,0.0,1.0,7.0,9,4,0,0,0.5112,0.5434,Player,0,NO BET,2,685.0
37,0.0,0.0,3.0,2.0,5,2,0,0,0.5112,0.5468,Player,0,NO BET,2,685.0
38,0.0,0.0,0.0,0.0,2,6,0,0,0.5112,0.5511,Banker,0,NO BET,2,685.0
39,0.0,0.0,0.0,0.0,0,0,0,0,0.5112,0.5511,Banker,0,NO BET,2,685.0
40,0.0,0.0,7.0,0.0,2,2,0,0,0.5127,0.5539,Banker,0,NO BET,2,685.0
1,0.0,0.0,0.0,2.0,3,8,1,0,0.7908,0.5404,Player,14,LOSS,2,536.0
1,0.0,0.0,0.0,8.0,4,0,0,0,0.4922,0.5077,Player,0,NO BET,0,564.0
2,0.0,6.0,9.0,5.0,1,6,1,0,0.7908,0.5311,Banker,28,WIN,2,592.0
3,0.0,0.0,0.0,4.0,7,2,0,0,0.4905,0.5057,Banker,0,NO BET,0,592.0
4,3.0,8.0,7.0,7.0,6,3,1,1,0.4537,0.4952,Tie,28,NO BET,0,592.0
5,0.0,0.0,3.0,6.0,3,0,0,0,0.4905,0.5079,Player,0,NO BET,0,592.0
6,0.0,6.0,0.0,2.0,0,0,1,0,0.7875,0.5411,Player,28,LOSS,2,564.0
7,0.0,9.0,3.0,5.0,8,8,1,0,0.7859,0.541,Banker,28,WIN,2,592.0
8,0.0,0.0,4.0,1.0,2,6,0,0,0.4966,0.5028,Banker,0,NO BET,0,592.0
9,0.0,3.0,0.0,1.0,3,0,1,0,0.7891,0.5429,Banker,28,WIN,2,620.0
10,0.0,8.0,2.0,0.0,7,3,1,0,0.7891,0.5456,Banker,28,WIN,2,648.0
11,0.0,0.0,5.0,2.0,6,0,0,0,0.4966,0.5032,Player,0,NO BET,0,648.0
12,0.0,2.0,8.0,8.0,6,0,1,0,0.7861,0.5435,Banker,28,WIN,2,676.0
13,6.0,6.0,4.0,0.0,2,0,1,1,0.4691,0.4961,Tie,28,NO BET,0,676.0
